_ERV_0019097	0.134489	0.242153	0	0	0	0	0	0	
_ERV_0019143	0.848143	1.527110	7.807490	14.830509	0	0	0	0	
_ERV_0019146	0.567685	1.022136	0.737630	1.401146	0	0	0	0	
_ERV_0230952	0.066869	0.120400	0	0	0.074341	0.059594	0	0	
_ERV_0020540	0.434851	0.782965	0	0	0	0	0	0	
_ERV_0232102	0.139937	0.251962	0	0	0	0	2.198996	1.414800	
_ERV_0232141	0.415137	0.747468	0	0	0	0	0	0	
_ERV_0022702	0.116359	0.209508	0	0	0.520136	0.416955	0	0	
_ERV_0232928	0.131291	0.236393	0	0	0	0	0	0	
_ERV_0232886	0.130201	0.234432	0	0	0.185187	0.148451	0	0	
_ERV_0233152	0.054596	0.098301	0	0	0	0	0	0	
_ERV_0233153_ERV_0233154	0.051703	0.093092	0	0	0	0	0	0	
_ERV_0234031	0.106223	0.191258	0	0	0.613178	0.491541	0.796858	0.512686	
_ERV_0024315	0.206643	0.372068	0.444337	0.844028	3.999969	3.206484	2.267065	1.458594	
_ERV_0233910	4.405462	7.932185	0	0	0	0	0	0	
_ERV_0233936_ERV_0233937	0.644721	1.160843	0	0	0	0	0	0	
_ERV_0233945	0.281920	0.507607	0	0	0	0	0	0	
_ERV_0024098	0.196278	0.353405	0	0	57.667904	46.228168	36.235931	23.313637	
_ERV_0233971	0.315003	0.567173	0.076203	0.144749	0	0	0.510111	0.328197	
_ERV_0024124	0.233426	0.420291	0.091013	0.172881	0.301522	0.241709	0.323378	0.208057	
_ERV_0233981	0.251424	0.452697	0	0	0	0	0	0	
_ERV_0234410	0.264156	0.475621	0	0	0	0	0	0	
_ERV_0234425	0.077516	0.139571	0.120349	0.228605	6.638868	5.321898	7.038640	4.528553	
_ERV_0025155	0.053724	0.096732	0	0	0.752625	0.603325	13.948056	8.973964	
_ERV_0235285	0.279202	0.502714	0	0	18.176456	14.570742	8.229848	5.294957	
_ERV_0235289	0.163672	0.294696	0	0	0	0	0	0	
_ERV_0026061	0.140670	0.253282	0.149846	0.284636	0.668979	0.536272	0	0	
_ERV_0026064	0.564128	1.015731	0	0	0	0	0	0	
_ERV_0027129_ERV_0027130	0.315480	0.568032	0	0	0	0	0	0	
_ERV_0026718	0.421844	0.759545	0.897738	1.705275	2.251210	1.804632	0.285547	0.183716	
_ERV_0236020	0.166206	0.299259	0	0	0	0	0.104299	0.067104	
_ERV_0027535	0.083874	0.151018	0	0	2.403490	1.926703	2.827302	1.819042	
_ERV_0028129	0.141426	0.254642	0	0	0	0	0	0	
_ERV_0237272	0.186583	0.335949	0.150961	0.286753	2.467463	1.977986	1.136990	0.731522	
_ERV_0031047	0.060373	0.108704	0.050155	0.095271	3.652754	2.928147	1.578765	1.015753	
_ERV_0240192	0.124568	0.224288	0	0	0	0	57.016220	36.683353	
_ERV_0240194	0.242018	0.435762	0	0	0.213471	0.171124	0	0	
_ERV_0033559	0.156766	0.282262	0	0	0	0	0	0	
_ERV_0241518	0.209188	0.376651	0	0	2.706467	2.169578	1.567845	1.008727	
_ERV_0033495	0.634321	1.142116	0.163050	0.309718	0	0	0	0	
_ERV_0033499	201.325302	362.493103	0	0	0	0	0.235839	0.151735	
_ERV_0033531	9.902653	17.830069	0	0	0	0	0	0	
_ERV_0034122	0.930263	1.674970	0.121471	0.230738	0	0	0.971104	0.624793	
_ERV_0034278	0.195556	0.352105	0	0	0.104633	0.083877	26.834896	17.265156	
_ERV_0242214	0.363243	0.654032	0	0	0.129840	0.104083	0.257321	0.165556	
_ERV_0243767_ERV_0243768	0.102076	0.183791	0.228806	0.434623	1.312328	1.051998	0	0	
_ERV_0243771	0.263712	0.474823	0.389653	0.740154	0.067081	0.053774	0	0	
_ERV_0036095	9.775446	17.601027	0	0	0	0	0	0	
_ERV_0243526	0.344400	0.620104	0.080872	0.153618	0.093474	0.074932	4.707735	3.028884	
_ERV_0036652	0.063005	0.113442	0.166706	0.316661	0.104442	0.083723	0.588015	0.378320	
_ERV_0244041	0.068056	0.122537	0	0	0	0	0	0	
_ERV_0036438	1.665826	2.999378	0	0	0	0	12.678765	8.157322	
_ERV_0036631	0.367537	0.661762	0	0	0	0	0	0	
_ERV_0243955	0.676483	1.218031	0	0	3.432284	2.751413	3.139288	2.019770	
_ERV_0036632	0.314369	0.566032	0	0	0	0	0.093675	0.060269	
_ERV_0037057	1.285927	2.315355	0.052855	0.100399	0	0	0	0	
_ERV_0037058	1.800920	3.242619	0.673756	1.279815	0	0	0	0	
_ERV_0037060	0.177832	0.320193	0	0	0	0	0	0	
_ERV_0245073	0.491630	0.885196	0	0	0	0	0	0	
_ERV_0245191	0.092641	0.166804	0	0	0	0	0	0	
_ERV_0038678	0.120308	0.216619	0	0	0	0	0	0	
_ERV_0038822	0.063629	0.114566	0	0	0	0	0	0	
_ERV_0039114	0.237811	0.428186	0	0	0.241978	0.193977	0.714154	0.459476	
_ERV_0039578	0.564933	1.017181	0	0	0.063761	0.051112	3.147820	2.025259	
_ERV_0040324	0.097087	0.174809	0.064412	0.122352	0.350276	0.280791	0.098029	0.063070	
_ERV_0040416	0.141875	0.255451	0	0	0	0	0	0	
_ERV_0246767	0.056162	0.101121	0	0	0	0	0	0	
_ERV_0041449	0.168907	0.304122	0	0	0.189897	0.152227	0.112525	0.072397	
_ERV_0040170_ERV_0040171	0.082918	0.149297	0.082436	0.156589	0.083275	0.066756	1.075459	0.691934	
_ERV_0040225	0.810925	1.460098	0.838575	1.592894	0.104814	0.084022	1.025758	0.659957	
_ERV_0246613	1.143320	2.058588	0	0	0	0	0	0	
_ERV_0246614	0.051428	0.092597	0	0	0	0	0.175950	0.113204	
_ERV_0040258	0.118962	0.214196	0	0	0.826102	0.662226	0.394768	0.253988	
_ERV_0246628	0.107035	0.192720	0	0	3.139307	2.516554	0.718549	0.462303	
